Player,Squad,Comp,Position_Primary,Age_Group,Age,Min,MP,Starts,Gls,Ast,xG,xAG,90s,Goals_per_90,Assists_per_90,Goal_Contributions_per_90,xG_per_90,xAG_per_90,Shots_per_90,Shot_Accuracy,Pass_Completion_Rate,Tackles_per_90,Interceptions_per_90,Age_Squared,Age_x_Goals,Minutes_x_Goals_per_90,market_value_in_eur,Log_Market_Value,Value_per_Goal,League_de Bundesliga,League_eng Premier League,League_es La Liga,League_fr Ligue 1,League_it Serie A,Position_DF,Position_FW,Position_GK,Position_MF
Jean-Eudes Aholou,Angers,fr Ligue 1,MF,Veteran,30.0,1959,26,26,2,0,1.8,1.0,21.766666666666666,0.09184142048063676,0.0,0.09184142048063676,0.08265727843257309,0.04592071024031838,1.2398591764885962,0.259163272861903,0.8429209041766469,2.5715597734578295,1.5153834379305067,900.0,60.0,179.91734272156742,2000000,14.508658238524095,666666.6666666666,False,False,False,True,False,False,False,False,True
Joseph Aidoo,Valladolid,es La Liga,DF,Prime,28.0,583,8,6,0,0,0.0,0.0,6.477777777777778,0.0,0.0,0.0,0.0,0.0,0.15413598218873095,0.0,0.8915108065924182,0.7706799109436547,0.7706799109436547,784.0,0.0,0.0,1400000,14.151983508870947,1400000.0,False,False,True,False,False,True,False,False,False
Joseph Aidoo,Celta Vigo,es La Liga,DF,Prime,28.0,2,1,0,0,0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8559201141226819,6.931252303664256,0.0,784.0,0.0,0.0,1400000,14.151983508870947,1400000.0,False,False,True,False,False,True,False,False,False
Ola Aina,Nott'ham Forest,eng Premier League,DF,Prime,27.0,2995,35,35,2,1,0.6,1.4,33.27777777777778,0.06008211222003405,0.030041056110017023,0.09012316833005107,0.018024633666010214,0.04205747855402383,0.3304516172101873,0.18165304268846502,0.7352016627095953,1.6522580860509364,0.9913548516305618,729.0,54.0,179.94592609900198,20000000,16.811242881518265,6666666.666666667,False,True,False,False,False,True,False,False,False
Rayan Aït-Nouri,Wolves,eng Premier League,DF,Prime,23.0,3109,37,37,4,7,2.7,5.5,34.544444444444444,0.11575934917521465,0.20257886105662562,0.3183382102318403,0.0781375606932699,0.15916910511592014,1.0418341425769317,0.27770063871146905,0.8419474610838984,2.5756455191485257,0.7524357696388951,529.0,92.0,359.89581658574235,35000000,17.370858648025116,7000000.0,False,True,False,False,False,True,False,False,False
Junior Ajayi,Hellas Verona,it Serie A,FW,Young,19.0,13,2,0,0,0,0.0,0.0,0.14444444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9950248756218907,0.0,0.0,361.0,0.0,0.0,300000,12.611541086966115,300000.0,False,False,False,False,True,False,True,False,False
Kristoffer Ajer,Brentford,eng Premier League,DF,Prime,26.0,1438,24,17,0,0,1.0,1.2,15.977777777777778,0.0,0.0,0.0,0.06254777955382584,0.07505733546459101,0.5629300159844326,0.33296337402885684,0.7825965435319328,1.6262422683994717,0.7505733546459101,676.0,0.0,0.0,18000000,16.705882371415992,18000000.0,False,True,False,False,False,True,False,False,False
Ludovic Ajorque,Brest,fr Ligue 1,FW,Veteran,30.0,2495,31,29,13,2,10.4,3.1,27.72222222222222,0.4687687808005128,0.07211827396930967,0.5408870547698225,0.37501502464041025,0.11178332465242999,1.911134260186706,0.47160913035276364,0.6885143291456163,0.9375375616010256,0.21635482190792898,900.0,390.0,1169.5781080972795,4000000,15.201805169084134,285714.28571428574,False,False,False,True,False,False,True,False,False
Manuel Akanji,Manchester City,eng Premier League,DF,Prime,29.0,2014,26,23,0,0,1.6,0.4,22.377777777777776,0.0,0.0,0.0,0.07146756662861681,0.017866891657154202,0.6700084371432825,0.13324450366422386,0.9357744508345709,0.8486773537148246,0.40200506228596955,841.0,0.0,0.0,32000000,17.281246492014,32000000.0,False,True,False,False,False,True,False,False,False
Nathan Aké,Manchester City,eng Premier League,DF,Prime,29.0,678,10,8,0,0,0.2,0.0,7.533333333333333,0.0,0.0,0.0,0.02651347768448962,0.0,0.39770216526734425,0.0,0.9390970646298039,1.1931064958020328,0.39770216526734425,841.0,0.0,0.0,32000000,17.281246492014,32000000.0,False,True,False,False,False,True,False,False,False
