Player,Squad,Comp,Position_Primary,Age,Gls,Ast,Actual_Value,Predicted_Value,Value_Difference,Actual_Value_M,Predicted_Value_M,Difference_M
Pablo Sarabia,Wolves,eng Premier League,MF,32.0,3,2,7000000,4400761.519050255,-2599238.4809497446,7.0,4.400761519050255,-2.5992384809497446
Craig Dawson,Wolves,eng Premier League,DF,34.0,0,0,2000000,-543269.9159018695,-2543269.9159018695,2.0,-0.5432699159018696,-2.5432699159018695
Jake O'Brien,Everton,eng Premier League,DF,23.0,2,0,15000000,12563338.275376009,-2436661.724623991,15.0,12.563338275376008,-2.436661724623991
Johnny Cardoso,Betis,es La Liga,MF,22.0,3,1,20000000,17646560.0251893,-2353439.974810701,20.0,17.6465600251893,-2.353439974810701
Ben Godfrey,Atalanta,it Serie A,DF,26.0,0,0,8000000,5749163.804911401,-2250836.195088599,8.0,5.749163804911401,-2.2508361950885987
Ben Godfrey,Ipswich Town,eng Premier League,DF,26.0,0,0,8000000,5749163.804911401,-2250836.195088599,8.0,5.749163804911401,-2.2508361950885987
Giovanni Fabbian,Bologna,it Serie A,MF,21.0,3,1,13000000,10836620.25821984,-2163379.74178016,13.0,10.83662025821984,-2.16337974178016
Juan Bernat,Villarreal,es La Liga,DF,31.0,0,1,2500000,355849.9134844579,-2144150.086515542,2.5,0.3558499134844579,-2.144150086515542
Juan Bernat,Getafe,es La Liga,MF,31.0,0,1,2500000,355849.9134844579,-2144150.086515542,2.5,0.3558499134844579,-2.144150086515542
Hamari Traoré,Real Sociedad,es La Liga,DF,32.0,0,1,3000000,988122.9188147372,-2011877.0811852627,3.0,0.9881229188147372,-2.0118770811852627
Tuta,Eint Frankfurt,de Bundesliga,DF,25.0,2,1,15000000,13065205.08164324,-1934794.9183567595,15.0,13.06520508164324,-1.9347949183567594
Michel Aebischer,Bologna,it Serie A,MF,27.0,0,0,10000000,8077723.959803285,-1922276.040196715,10.0,8.077723959803285,-1.922276040196715
Oliver Baumann,Hoffenheim,de Bundesliga,GK,34.0,0,0,3000000,1121613.4455727208,-1878386.5544272792,3.0,1.121613445572721,-1.878386554427279
Iñigo Lekue,Athletic Club,es La Liga,DF,31.0,0,0,2500000,661893.3080643844,-1838106.6919356156,2.5,0.6618933080643844,-1.8381066919356157
Philipp Lienhart,Freiburg,de Bundesliga,DF,28.0,1,0,15000000,13204500.503941389,-1795499.4960586112,15.0,13.20450050394139,-1.7954994960586113
Harry Wilson,Fulham,eng Premier League,FW,27.0,6,1,17000000,15312024.18178632,-1687975.8182136808,17.0,15.312024181786319,-1.6879758182136808
Folarin Balogun,Monaco,fr Ligue 1,FW,23.0,4,0,20000000,18397296.201159168,-1602703.798840832,20.0,18.39729620115917,-1.602703798840832
William Carvalho,Betis,es La Liga,MF,32.0,0,0,2000000,483943.8532359656,-1516056.1467640344,2.0,0.4839438532359656,-1.5160561467640343
Mattia Perin,Juventus,it Serie A,GK,31.0,0,0,3000000,1697977.855365418,-1302022.144634582,3.0,1.697977855365418,-1.302022144634582
