Player,Squad,Comp,Position_Primary,Age,Gls,Ast,Actual_Value,Predicted_Value,Value_Difference,Actual_Value_M,Predicted_Value_M,Difference_M
Davide Calabria,Bologna,it Serie A,DF,27.0,0,1,7500000,9966658.116602045,2466658.1166020446,7.5,9.966658116602044,2.4666581166020447
Dani de Wit,Bochum,de Bundesliga,MF,26.0,2,1,3000000,5443800.276007399,2443800.276007399,3.0,5.443800276007399,2.443800276007399
Unai García,Osasuna,es La Liga,DF,32.0,0,0,1000000,3438656.752065286,2438656.752065286,1.0,3.438656752065286,2.438656752065286
Luca de la Torre,Celta Vigo,es La Liga,MF,26.0,0,0,3000000,5430155.526749554,2430155.526749554,3.0,5.430155526749554,2.4301555267495543
Renato Tapia,Leganés,es La Liga,MF,29.0,1,0,3500000,5927453.340562405,2427453.340562405,3.5,5.927453340562405,2.4274533405624052
Jesper Karlsson,Lecce,it Serie A,FW,26.0,1,0,4500000,6912862.636276012,2412862.6362760123,4.5,6.912862636276012,2.4128626362760124
Jesper Karlsson,Bologna,it Serie A,FW,26.0,1,0,4500000,6912862.636276012,2412862.6362760123,4.5,6.912862636276012,2.4128626362760124
Yunus Emre Konak,Brentford,eng Premier League,FW,18.0,0,0,4500000,6874962.4018758815,2374962.4018758815,4.5,6.874962401875881,2.3749624018758815
Bradley Locko,Brest,fr Ligue 1,DF,22.0,0,0,9000000,11278440.364441624,2278440.364441624,9.0,11.278440364441623,2.278440364441624
Baptiste Santamaria,Rennes,fr Ligue 1,MF,29.0,0,1,7000000,9276430.306128372,2276430.3061283715,7.0,9.276430306128372,2.2764303061283715
Baptiste Santamaria,Nice,fr Ligue 1,MF,29.0,0,0,7000000,9276430.306128372,2276430.3061283715,7.0,9.276430306128372,2.2764303061283715
Leroy Sané,Bayern Munich,de Bundesliga,FW,28.0,11,5,38000000,40234493.00833759,2234493.008337587,38.0,40.23449300833759,2.234493008337587
Noah Weißhaupt,St. Pauli,de Bundesliga,FW,22.0,1,0,5000000,7234022.01785743,2234022.0178574296,5.0,7.23402201785743,2.2340220178574297
Noah Weißhaupt,Freiburg,de Bundesliga,FW,22.0,0,0,5000000,7234022.01785743,2234022.0178574296,5.0,7.23402201785743,2.2340220178574297
Matteo Gabbia,Milan,it Serie A,DF,24.0,2,0,14000000,16228966.892636731,2228966.8926367313,14.0,16.22896689263673,2.2289668926367314
Mattias Svanberg,Wolfsburg,de Bundesliga,MF,25.0,3,1,12000000,14198766.63860987,2198766.6386098694,12.0,14.19876663860987,2.1987666386098694
Umut Tohumcu,Hoffenheim,de Bundesliga,MF,19.0,0,1,7000000,9171026.18302404,2171026.1830240395,7.0,9.17102618302404,2.1710261830240394
Mattia Felici,Cagliari,it Serie A,MF,23.0,0,3,3000000,5152238.2866707165,2152238.2866707165,3.0,5.152238286670716,2.1522382866707166
Marvin Schulz,Holstein Kiel,de Bundesliga,MF,29.0,0,0,700000,2725832.76491878,2025832.76491878,0.7,2.72583276491878,2.02583276491878
Cédric Hountondji,Angers,fr Ligue 1,DF,30.0,0,0,1500000,3519939.39442889,2019939.3944288902,1.5,3.5199393944288904,2.0199393944288904
Joseph Okumu,Reims,fr Ligue 1,DF,27.0,1,0,7000000,8976043.763504764,1976043.763504764,7.0,8.976043763504764,1.976043763504764
Emmanuel Ekong,Empoli,it Serie A,MF,22.0,0,0,500000,2429252.207256969,1929252.207256969,0.5,2.429252207256969,1.929252207256969
Javier Manquillo,Celta Vigo,es La Liga,DF,30.0,0,0,1800000,3709061.841764455,1909061.8417644552,1.8,3.709061841764455,1.9090618417644551
Maximiliano Caufriez,Valencia,es La Liga,DF,27.0,0,0,2500000,4270982.721485157,1770982.7214851566,2.5,4.270982721485157,1.7709827214851566
Ismaël Koné,Rennes,fr Ligue 1,MF,22.0,2,1,10000000,11727380.823723512,1727380.8237235118,10.0,11.727380823723513,1.7273808237235118
Ismaël Koné,Marseille,fr Ligue 1,MF,22.0,0,0,10000000,11727380.823723512,1727380.8237235118,10.0,11.727380823723513,1.7273808237235118
Wahbi Khazri,Montpellier,fr Ligue 1,FW,33.0,1,1,1500000,3114041.991264578,1614041.991264578,1.5,3.114041991264578,1.614041991264578
Jesús Owono,Alavés,es La Liga,GK,23.0,0,0,1000000,2591417.4884059187,1591417.4884059187,1.0,2.5914174884059187,1.5914174884059187
Jorge Cuenca,Fulham,eng Premier League,DF,24.0,0,0,6000000,7519422.876215579,1519422.876215579,6.0,7.519422876215579,1.519422876215579
Kenedy,Valladolid,es La Liga,MF,28.0,0,0,300000,1815004.292543443,1515004.292543443,0.3,1.8150042925434429,1.5150042925434428
Hákon Rafn Valdimarsson,Brentford,eng Premier League,GK,22.0,0,0,2500000,4009108.0662723705,1509108.0662723705,2.5,4.00910806627237,1.5091080662723706
Iñaki Peña,Barcelona,es La Liga,GK,25.0,0,0,10000000,11432033.705831464,1432033.7058314644,10.0,11.432033705831465,1.4320337058314643
Amine Harit,Marseille,fr Ligue 1,MF,27.0,2,4,10000000,11429908.397760857,1429908.397760857,10.0,11.429908397760856,1.4299083977608569
Jack Taylor,Ipswich Town,eng Premier League,MF,26.0,1,0,3000000,4341342.31768199,1341342.3176819896,3.0,4.341342317681989,1.3413423176819896
Alban Lafont,Nantes,fr Ligue 1,GK,25.0,0,0,4000000,5318813.167198479,1318813.1671984792,4.0,5.3188131671984795,1.318813167198479
Jesper Karlsson,Lecce,it Serie A,FW,26.0,1,0,4500000,5816378.117704457,1316378.1177044567,4.5,5.816378117704456,1.3163781177044567
Jesper Karlsson,Bologna,it Serie A,FW,26.0,1,0,4500000,5816378.117704457,1316378.1177044567,4.5,5.816378117704456,1.3163781177044567
Simone Scuffet,Cagliari,it Serie A,GK,28.0,0,0,2000000,3241543.2565874904,1241543.2565874904,2.0,3.2415432565874904,1.2415432565874904
Simone Scuffet,Napoli,it Serie A,GK,28.0,0,0,2000000,3241543.2565874904,1241543.2565874904,2.0,3.2415432565874904,1.2415432565874904
Eren Dinkçi,Freiburg,de Bundesliga,MF,22.0,0,3,12000000,13238355.702698154,1238355.7026981544,12.0,13.238355702698154,1.2383557026981544
Junior Dina Ebimbe,Eint Frankfurt,de Bundesliga,MF,23.0,0,1,7000000,8209218.58802842,1209218.5880284198,7.0,8.20921858802842,1.2092185880284199
Gustav Isaksen,Lazio,it Serie A,FW,23.0,4,2,20000000,21188189.47259685,1188189.4725968502,20.0,21.18818947259685,1.1881894725968503
Marcel Sabitzer,Dortmund,de Bundesliga,MF,30.0,1,0,10000000,11055636.012184603,1055636.0121846031,10.0,11.055636012184603,1.0556360121846031
Mathis Lambourde,Hellas Verona,it Serie A,FW,18.0,1,0,500000,1509611.3998843282,1009611.3998843282,0.5,1.5096113998843284,1.0096113998843284
Daley Sinkgraven,Las Palmas,es La Liga,DF,29.0,0,0,700000,1630078.7489154637,930078.7489154637,0.7,1.6300787489154638,0.9300787489154637
Reda Belahyane,Hellas Verona,it Serie A,MF,20.0,0,2,10000000,10882522.842983216,882522.842983216,10.0,10.882522842983215,0.882522842983216
Reda Belahyane,Lazio,it Serie A,MF,20.0,0,0,10000000,10882522.842983216,882522.842983216,10.0,10.882522842983215,0.882522842983216
Vitezslav Jaros,Liverpool,eng Premier League,GK,23.0,0,0,5000000,5881345.030581638,881345.0305816382,5.0,5.881345030581638,0.8813450305816383
Yacine Adli,Fiorentina,it Serie A,MF,24.0,4,6,15000000,15865818.011922006,865818.0119220056,15.0,15.865818011922006,0.8658180119220056
Nicolò Casale,Bologna,it Serie A,DF,26.0,0,1,7000000,7777782.521947609,777782.5219476093,7.0,7.777782521947609,0.7777825219476092
Nicolò Casale,Lazio,it Serie A,DF,26.0,0,0,7000000,7777782.521947609,777782.5219476093,7.0,7.777782521947609,0.7777825219476092
Ander Herrera,Athletic Club,es La Liga,MF,34.0,0,0,2000000,2757471.360176889,757471.3601768892,2.0,2.7574713601768894,0.7574713601768892
Can Uzun,Eint Frankfurt,de Bundesliga,MF,18.0,4,1,18000000,18637602.47063761,637602.4706376083,18.0,18.63760247063761,0.6376024706376083
Yukinari Sugawara,Southampton,eng Premier League,DF,24.0,1,1,12000000,12626317.124891298,626317.1248912979,12.0,12.626317124891298,0.6263171248912979
Yoann Salmier,Le Havre,fr Ligue 1,DF,31.0,0,0,1500000,2085476.4817567116,585476.4817567116,1.5,2.0854764817567117,0.5854764817567116
